timestamp,spot_price_eur_mwh,charge_mw,discharge_mw,net_grid_flow_mw,energy_mwh,soc_percent,hourly_gross_pnl_eur,hourly_degradation_eur
2026-08-02 13:00:00,-34.27,10.0,0.0,-10.0,11.38,56.9,342.72,4.5
2026-08-02 14:00:00,9.9,7.06,0.0,-7.06,18.0,90.0,-69.86,3.18
2026-08-02 15:00:00,28.66,0.0,-0.0,-0.0,18.0,90.0,-0.0,0.0
2026-08-02 16:00:00,41.53,0.0,-0.0,-0.0,18.0,90.0,-0.0,0.0
2026-08-02 17:00:00,46.94,0.0,-0.0,-0.0,18.0,90.0,-0.0,0.0
2026-08-02 18:00:00,92.45,0.0,5.01,5.01,12.66,63.3,463.1,2.25
2026-08-02 19:00:00,106.34,0.0,10.0,10.0,2.0,10.0,1063.41,4.5
2026-08-02 20:00:00,81.54,0.0,-0.0,-0.0,2.0,10.0,-0.0,0.0
2026-08-02 21:00:00,50.49,10.0,0.0,-10.0,11.38,56.9,-504.91,4.5
2026-08-02 22:00:00,52.56,7.06,0.0,-7.06,18.0,90.0,-370.9,3.18
2026-08-02 23:00:00,64.71,-0.0,0.0,0.0,18.0,90.0,0.0,0.0
2026-08-03 00:00:00,77.75,0.0,8.8,8.8,8.62,43.1,684.19,3.96
2026-08-03 01:00:00,60.9,10.0,0.0,-10.0,18.0,90.0,-608.96,4.5
2026-08-03 02:00:00,127.09,0.0,5.01,5.01,12.66,63.3,636.64,2.25
2026-08-03 03:00:00,141.92,0.0,10.0,10.0,2.0,10.0,1419.19,4.5
2026-08-03 04:00:00,119.08,0.0,0.0,0.0,2.0,10.0,0.0,0.0
2026-08-03 05:00:00,79.89,-0.0,0.0,0.0,2.0,10.0,0.0,0.0
2026-08-03 06:00:00,83.25,0.0,0.0,0.0,2.0,10.0,0.0,0.0
2026-08-03 07:00:00,68.22,0.0,-0.0,-0.0,2.0,10.0,-0.0,0.0
2026-08-03 08:00:00,40.79,7.06,0.0,-7.06,8.62,43.1,-287.79,3.18
2026-08-03 09:00:00,33.64,10.0,0.0,-10.0,18.0,90.0,-336.35,4.5
2026-08-03 10:00:00,79.52,0.0,5.01,5.01,12.66,63.3,398.32,2.25
2026-08-03 11:00:00,99.68,0.0,10.0,10.0,2.0,10.0,996.78,4.5
2026-08-03 12:00:00,65.66,-0.0,0.0,0.0,2.0,10.0,0.0,0.0
2026-08-03 13:00:00,-14.61,10.0,0.0,-10.0,11.38,56.9,146.11,4.5
2026-08-03 14:00:00,18.52,7.06,0.0,-7.06,18.0,90.0,-130.66,3.18
2026-08-03 15:00:00,26.54,0.0,-0.0,-0.0,18.0,90.0,-0.0,0.0
2026-08-03 16:00:00,54.0,0.0,-0.0,-0.0,18.0,90.0,-0.0,0.0
2026-08-03 17:00:00,71.61,-0.0,0.0,0.0,18.0,90.0,0.0,0.0
2026-08-03 18:00:00,123.92,0.0,0.0,0.0,18.0,90.0,0.0,0.0
2026-08-03 19:00:00,153.03,0.0,10.0,10.0,7.34,36.7,1530.28,4.5
2026-08-03 20:00:00,127.39,0.0,5.01,5.01,2.0,10.0,638.14,2.25
2026-08-03 21:00:00,69.84,10.0,0.0,-10.0,11.38,56.9,-698.39,4.5
2026-08-03 22:00:00,77.89,0.0,0.0,0.0,11.38,56.9,0.0,0.0
2026-08-03 23:00:00,87.3,0.0,2.59,2.59,8.62,43.1,226.18,1.17
2026-08-04 00:00:00,74.71,10.0,0.0,-10.0,18.0,90.0,-747.13,4.5
2026-08-04 01:00:00,87.52,-0.0,0.0,0.0,18.0,90.0,0.0,0.0
2026-08-04 02:00:00,103.54,0.0,-0.0,-0.0,18.0,90.0,-0.0,0.0
2026-08-04 03:00:00,151.58,0.0,10.0,10.0,7.34,36.7,1515.75,4.5
2026-08-04 04:00:00,125.19,0.0,5.01,5.01,2.0,10.0,627.14,2.25
2026-08-04 05:00:00,72.61,0.0,0.0,0.0,2.0,10.0,0.0,0.0
2026-08-04 06:00:00,75.73,0.0,-0.0,-0.0,2.0,10.0,-0.0,0.0
2026-08-04 07:00:00,44.86,7.06,0.0,-7.06,8.62,43.1,-316.57,3.18
2026-08-04 08:00:00,45.74,0.0,0.0,0.0,8.62,43.1,0.0,0.0
2026-08-04 09:00:00,38.97,10.0,0.0,-10.0,18.0,90.0,-389.66,4.5
2026-08-04 10:00:00,88.69,0.0,10.0,10.0,7.34,36.7,886.89,4.5
2026-08-04 11:00:00,87.73,0.0,5.01,5.01,2.0,10.0,439.46,2.25
2026-08-04 12:00:00,63.03,-0.0,0.0,0.0,2.0,10.0,0.0,0.0
2026-08-04 13:00:00,-17.14,10.0,0.0,-10.0,11.38,56.9,171.4,4.5
2026-08-04 14:00:00,34.69,7.06,0.0,-7.06,18.0,90.0,-244.79,3.18
2026-08-04 15:00:00,38.74,0.0,0.0,0.0,18.0,90.0,0.0,0.0
2026-08-04 16:00:00,43.26,0.0,-0.0,-0.0,18.0,90.0,-0.0,0.0
2026-08-04 17:00:00,64.87,-0.0,0.0,0.0,18.0,90.0,0.0,0.0
2026-08-04 18:00:00,125.27,0.0,5.01,5.01,12.66,63.3,627.54,2.25
2026-08-04 19:00:00,152.75,0.0,10.0,10.0,2.0,10.0,1527.49,4.5
2026-08-04 20:00:00,118.88,0.0,0.0,0.0,2.0,10.0,0.0,0.0
2026-08-04 21:00:00,72.38,0.0,0.0,0.0,2.0,10.0,0.0,0.0
2026-08-04 22:00:00,71.86,7.06,0.0,-7.06,8.62,43.1,-507.07,3.18
2026-08-04 23:00:00,63.29,10.0,0.0,-10.0,18.0,90.0,-632.92,4.5
2026-08-05 00:00:00,77.37,0.0,0.0,0.0,18.0,90.0,0.0,0.0
2026-08-05 01:00:00,77.09,0.0,0.0,0.0,18.0,90.0,0.0,0.0
2026-08-05 02:00:00,124.54,0.0,5.01,5.01,12.66,63.3,623.85,2.25
2026-08-05 03:00:00,143.12,0.0,10.0,10.0,2.0,10.0,1431.23,4.5
2026-08-05 04:00:00,113.17,0.0,-0.0,-0.0,2.0,10.0,-0.0,0.0
2026-08-05 05:00:00,71.63,0.0,0.0,0.0,2.0,10.0,0.0,0.0
2026-08-05 06:00:00,72.26,0.0,-0.0,-0.0,2.0,10.0,-0.0,0.0
2026-08-05 07:00:00,54.35,-0.0,0.0,0.0,2.0,10.0,0.0,0.0
2026-08-05 08:00:00,46.21,7.06,0.0,-7.06,8.62,43.1,-326.06,3.18
2026-08-05 09:00:00,39.34,10.0,0.0,-10.0,18.0,90.0,-393.42,4.5
2026-08-05 10:00:00,91.96,0.0,5.01,5.01,12.66,63.3,460.64,2.25
2026-08-05 11:00:00,93.27,0.0,10.0,10.0,2.0,10.0,932.71,4.5
2026-08-05 12:00:00,71.56,-0.0,0.0,0.0,2.0,10.0,0.0,0.0
2026-08-05 13:00:00,-13.72,10.0,0.0,-10.0,11.38,56.9,137.21,4.5
2026-08-05 14:00:00,12.02,7.06,0.0,-7.06,18.0,90.0,-84.8,3.18
2026-08-05 15:00:00,35.9,0.0,-0.0,-0.0,18.0,90.0,-0.0,0.0
2026-08-05 16:00:00,47.98,0.0,-0.0,-0.0,18.0,90.0,-0.0,0.0
2026-08-05 17:00:00,80.47,-0.0,0.0,0.0,18.0,90.0,0.0,0.0
2026-08-05 18:00:00,122.96,0.0,0.0,0.0,18.0,90.0,0.0,0.0
2026-08-05 19:00:00,147.41,0.0,10.0,10.0,7.34,36.7,1474.12,4.5
2026-08-05 20:00:00,124.22,0.0,5.01,5.01,2.0,10.0,622.26,2.25
2026-08-05 21:00:00,65.65,10.0,0.0,-10.0,11.38,56.9,-656.51,4.5
2026-08-05 22:00:00,84.14,0.0,2.59,2.59,8.62,43.1,217.99,1.17
2026-08-05 23:00:00,81.02,0.0,0.0,0.0,8.62,43.1,0.0,0.0
2026-08-06 00:00:00,81.33,0.0,0.0,0.0,8.62,43.1,0.0,0.0
2026-08-06 01:00:00,67.72,10.0,0.0,-10.0,18.0,90.0,-677.25,4.5
2026-08-06 02:00:00,135.72,0.0,10.0,10.0,7.34,36.7,1357.2,4.5
2026-08-06 03:00:00,133.79,0.0,5.01,5.01,2.0,10.0,670.17,2.25
2026-08-06 04:00:00,129.19,0.0,0.0,0.0,2.0,10.0,0.0,0.0
2026-08-06 05:00:00,92.52,0.0,-0.0,-0.0,2.0,10.0,-0.0,0.0
2026-08-06 06:00:00,67.08,-0.0,0.0,0.0,2.0,10.0,0.0,0.0
2026-08-06 07:00:00,56.23,0.0,-0.0,-0.0,2.0,10.0,-0.0,0.0
2026-08-06 08:00:00,48.3,7.06,0.0,-7.06,8.62,43.1,-340.79,3.18
2026-08-06 09:00:00,32.08,10.0,0.0,-10.0,18.0,90.0,-320.81,4.5
2026-08-06 10:00:00,64.46,0.0,5.01,5.01,12.66,63.3,322.91,2.25
2026-08-06 11:00:00,92.42,0.0,10.0,10.0,2.0,10.0,924.23,4.5
2026-08-06 12:00:00,61.0,0.0,-0.0,-0.0,2.0,10.0,-0.0,0.0
2026-08-06 13:00:00,-9.34,10.0,0.0,-10.0,11.38,56.9,93.37,4.5
2026-08-06 14:00:00,20.01,7.06,0.0,-7.06,18.0,90.0,-141.21,3.18
2026-08-06 15:00:00,48.51,0.0,8.8,8.8,8.62,43.1,426.88,3.96
2026-08-06 16:00:00,41.23,10.0,0.0,-10.0,18.0,90.0,-412.34,4.5
2026-08-06 17:00:00,58.19,0.0,-0.0,-0.0,18.0,90.0,-0.0,0.0
2026-08-06 18:00:00,131.01,0.0,5.01,5.01,12.66,63.3,656.25,2.25
2026-08-06 19:00:00,135.15,0.0,10.0,10.0,2.0,10.0,1351.53,4.5
2026-08-06 20:00:00,126.32,0.0,0.0,0.0,2.0,10.0,0.0,0.0
2026-08-06 21:00:00,85.46,-0.0,0.0,0.0,2.0,10.0,0.0,0.0
2026-08-06 22:00:00,62.14,10.0,0.0,-10.0,11.38,56.9,-621.4,4.5
2026-08-06 23:00:00,76.48,7.06,0.0,-7.06,18.0,90.0,-539.63,3.18
2026-08-07 00:00:00,77.08,-0.0,0.0,0.0,18.0,90.0,0.0,0.0
2026-08-07 01:00:00,81.25,-0.0,0.0,0.0,18.0,90.0,0.0,0.0
2026-08-07 02:00:00,114.6,0.0,-0.0,-0.0,18.0,90.0,-0.0,0.0
2026-08-07 03:00:00,134.44,0.0,10.0,10.0,7.34,36.7,1344.36,4.5
2026-08-07 04:00:00,128.67,0.0,5.01,5.01,2.0,10.0,644.57,2.25
2026-08-07 05:00:00,77.38,0.0,-0.0,-0.0,2.0,10.0,-0.0,0.0
2026-08-07 06:00:00,77.0,0.0,-0.0,-0.0,2.0,10.0,-0.0,0.0
2026-08-07 07:00:00,63.54,0.0,-0.0,-0.0,2.0,10.0,-0.0,0.0
2026-08-07 08:00:00,42.06,7.06,0.0,-7.06,8.62,43.1,-296.78,3.18
2026-08-07 09:00:00,37.97,10.0,0.0,-10.0,18.0,90.0,-379.67,4.5
2026-08-07 10:00:00,79.21,0.0,0.0,0.0,18.0,90.0,0.0,0.0
2026-08-07 11:00:00,86.16,0.0,10.0,10.0,7.34,36.7,861.59,4.5
2026-08-07 12:00:00,84.42,0.0,5.01,5.01,2.0,10.0,422.91,2.25
2026-08-07 13:00:00,-9.34,10.0,0.0,-10.0,11.38,56.9,93.35,4.5
2026-08-07 14:00:00,17.84,7.06,0.0,-7.06,18.0,90.0,-125.87,3.18
2026-08-07 15:00:00,41.36,0.0,-0.0,-0.0,18.0,90.0,-0.0,0.0
2026-08-07 16:00:00,39.7,0.0,0.0,0.0,18.0,90.0,0.0,0.0
2026-08-07 17:00:00,67.06,0.0,-0.0,-0.0,18.0,90.0,-0.0,0.0
2026-08-07 18:00:00,133.77,0.0,5.01,5.01,12.66,63.3,670.08,2.25
2026-08-07 19:00:00,138.43,0.0,10.0,10.0,2.0,10.0,1384.35,4.5
2026-08-07 20:00:00,132.2,0.0,-0.0,-0.0,2.0,10.0,-0.0,0.0
2026-08-07 21:00:00,78.3,10.0,0.0,-10.0,11.38,56.9,-783.02,4.5
2026-08-07 22:00:00,81.58,0.0,0.0,0.0,11.38,56.9,0.0,0.0
2026-08-07 23:00:00,90.17,0.0,8.8,8.8,2.0,10.0,793.53,3.96
